parsed,lcvp
Calamus,
Calamus arctifrons,
Calamus bajonado,
Calamus calamus,
Calamus leucosteus,
Calamus nodosus,
Calamus penna,
Calamus pennatula,
Calamus proridens,
Calamus unknown,
Calanidae,
Calanoid,
Calanoid copepod,
Calanoid copepodid,
Calanoida,
Calanoida copepodites,
Calanoides,
Calanoides carinatus,
Calanoides macrocarinatus,
Calanoides patagoniensis,
Calanopia,
Calanopia americana,
Calanopia aurivilli,
Calanopia australica,
Calanopia elliptica,
Calanopia minor,
Calanus,
Calanus agulhensis,
Calanus australis,
Calanus chilensis,
Calanus cristatus,
Calanus finmarchicus,
Calanus glacialis,
Calanus helgolandicus,
Calanus hyperboreus,
Calanus pacificus,
Calanus patagoniensis,
Calanus tenuicornis,
Calanus tonsus,
Calappa,
Calappa angusta,
Calappa flammea,
Calappa gallus,
Calappa granulata,
Calappa philargius,
Calappa sulcata,
Calappa terraereginae,
Calappidae,
Calastacus,
Calastacus hirsutimana,
Calathura,
Calathura brachiata,
Calathus ambiguus,
Calathus cinctus,
Calathus erratus,
Calathus melanocephalus,
Calatola costaricensis,Calatola costaricensis Standl.
Calcarea,
Calcarius lapponicus,
Calcarius mccownii,
Calcarius ornatus,
Calcidiscus leptoporus,
Calciopappus,
Calciopappus caudatus,
Calciopappus rigidus,
Calciosolenia,
Calciosolenia brasiliensis,
Calciosolenia murrayi,
Calea uniflora,Calea uniflora Less.
Caleschara minuta,
Calidris acuminata,
Calidris alba,
Calidris alpina,
Calidris bairdii,
Calidris canutus,
Calidris ferruginea,
Calidris fuscicollis,
Calidris maritima,
Calidris mauri,
Calidris melanotos,
Calidris minuta,
Calidris minutilla,
Calidris ptilocnemis,
Calidris pusilla,
Calidris ruficollis,
Calidris subminuta,
Calidris temminckii,
Calidris tenuirostris,
Califia calida,
Califia schmitti,
Caligidae,
Caligus,
Caligus bonito,
Calina,
Callanthias allporti,
Callechelys guineensis,
Callechelys muraena,
Callenya,
Calliacantha natans,
Calliactis parasitica,
Calliactis tricolor,
Callianassa,
Callianassa acanthochirus,
Callianassa atlantica,
Callianassa batei,
Callianassa biformis,
Callianassa fragilis,
Callianassa latispina,
Callianassa longiventris,
Callianassa marginata,
Callianassa minima,
Callianassa setimanus,
Callianassa spec,
Callianassa subterranea,
Callianassa tyrrhena,
Callianassidae,
Calliandra foliolosa,Calliandra foliolosa Benth.
Callianopsis goniophthalma,
Callianthemum coriandrifolium,Callianthemum coriandrifolium Rchb.
Calliarthron,
Calliarthron cheilosporioid,
Calliarthron yessoense,
Calliaster,
Callibaetis,
Calliblepharis,
Calliblepharis ciliata,
Calliblepharis jubata,
Callicarpa maingayi,Callicarpa maingayi King & Gamble
Callicarpa tomentosa,Callicarpa tomentosa (L.) L.
Callichirus major,
Calliclinus geniguttatus,
Callidactylus asper,
Callidium aeneum,
Callidium coriaceum,
Calliergon richardsonii,
Calliergon sarmentosum,
Calliergon stramineum,
Calliloncha nankaiensis,
Callimorpha dominula,
Callinectes,
Callinectes sapidus,
Callinectes similis,
Callionymidae,
Callionymus,
Callionymus beniteguri,
Callionymus curvicornis,
Callionymus doryssus,
Callionymus filamentosus,
Callionymus formosanus,
Callionymus huguenini,
Callionymus japonicus,
Callionymus lyra,
Callionymus maculatus,
Callionymus planus,
Callionymus reticulatus,
Callionymus valenciennei,
Calliopiella pratti,
Calliopiidae,
Calliopius,
Calliopius laeviusculus,
Callioplana marginata,
Calliostoma,
Calliostoma adelae,
Calliostoma armillatum,
Calliostoma bairdi,
Calliostoma barbouri,
Calliostoma euglyptum,
Calliostoma fascinans,
Calliostoma javanicum,
Calliostoma jujubinum,
Calliostoma ligatum,
Calliostoma marionae,
Calliostoma occidentale,
Calliostoma pulchrum,
Calliostoma roseolum,
Calliostoma similarae,
Calliostoma tampaense,
Calliostoma turbinum,
Calliostoma zizyphinum,
Calliostoma zyziphinum,
Callipallene,
Callipallene brevirostris,
Callipallene emaciata,
Callipallene pacifica,
Callipallene phantoma,
Callipepla californica,
Callipepla gambelii,
Callipepla squamata,
Callirhoe alcaeoides,Callirhoe alcaeoides (Michx.) A.Gray
Callirhoe involucrata,Callirhoe involucrata (Torr. & A.Gray) A.Gray
Callista,
Callista chione,
Callista disrupta,
Callista eucymata,
Callisto denticulella,
Callithamnion,
Callithamnion baileyi,
Callithamnion byssoides,
Callithamnion corymbosum,
Callithamnion granulatum,
Callithamnion roseum,
Callithamnion tenuissimum,
Callithamnion tetragonum,
Callithamnion tetricum,
Calliurichthys,
Calliurichthys afilum,
Calliurichthys grossi,
Calliurichthys ogilbyi,
Calliurichthys sereti,
Calliurichthys tethys,
Callizzia amorata,
Callocardia morrhuana,
Callochiton septemvalvis,
Callocolax neglectus,
Callogobius,
Callophrys apama,
Callophrys rubi,
Callophycus,
Callophycus serratus,
Callophyllis,
Callophyllis adnata,
Callophyllis crispata,
Callophyllis cristata,
Callophyllis flabellulata,
Callophyllis japonica,
Callophyllis laciniata,
Calloplax janeirensis,
Calloplesiops altivelis,
Callopora,
Callopora aurita,
Callopora craticula,
Callopora dumerilii,
Callopora lineata,
Callopora precocialis,
Callopora rylandi,
Callopora whiteavesi,
Calloporina,
Calloporina angustipora,
Calloporina sigillata,
Calloporina triporosa,
Callorhinchus milii,
Callorhinus ursinus,
Callosciurus erythraeus,
Calluna vulgaris,Calluna vulgaris (L.) Hull
Callyonimus,
Callyonimus maculatus,
Callyonimus phaeton,
Callyspongia,
Callyspongia schultzi,
Calmania prima,
Calocalanus,
Calocalanus contractus,
Calocalanus gracilis,
Calocalanus minutus,
Calocalanus pavo,
Calocalanus pavonicus,
Calocalanus pavoninus,
Calocalanus plumulosus,
Calocalanus styleremis,
Calocalanus styliremis,
Calocalanus tenius,
Calocalanus tenuis,
Calocalaus pavoninus,
Calocarides,
Calocarides quinqueseriatus,
Calocarides spinulicauda,
Calocaris,
Calocaris macandreae,
Calocaris templemani,
Calocedrus decurrens,Calocedrus decurrens (Torr.) Florin
Calocera furcata,
Calocera viscosa,
Calochortus macrocarpus,Calochortus macrocarpus Douglas
Calochortus nuttallii,Calochortus nuttallii Torr.
Calonectris diomedea,
Caloneis,
Calophyllum brasiliense,Calophyllum brasiliense Cambess.
Calophyllum depressinervosum,Calophyllum depressinervosum M.R.Hend. & Wyatt-Sm.
Calophyllum dioscurii,Calophyllum dioscurii P.F.Stevens
Calophyllum longifolium,Calophyllum longifolium Willd.
Calophyllum macrocarpum,Calophyllum macrocarpum Hook.f.
Calophyllum polyanthum,Calophyllum polyanthum Wall. ex Triana & Planch.
Calophyllum rupicola,
Calophyllum sil,Calophyllum sil Lauterb.
Calophyllum soulattri,
Calophyllum tetrapterum,Calophyllum tetrapterum Miq.
Calophyllum wallichianum,Calophyllum wallichianum Triana & Planch.
Caloplaca,
Caloplaca marina,
Caloplaca microthallina,
Caloplaca thallincola,
Caloptilia alchimiella,
Caloptilia azaleella,
Caloptilia betulicola,
Caloptilia elongella,
Caloptilia falconipennella,
Caloptilia populetorum,
Caloptilia robustella,
Caloptilia rufipennella,
Caloptilia stigmatella,
Calopus serraticornis,
Caloria elegans,
Caloria indica,
Calosiphonia,
Calosiphonia vermicularis,
Calosoma inquisitor,
Calosoma maximowiczi,
Calospilos sylvata,
Calothrix confervicola,
Calotomus carolinus,
Calotomus spinidens,
Calotomus viridescens,
Calotrophon,
Calotrophon ostrearum,
Calozodion,
Calozodion multispinosum,
Calozodion propinquus,
Calozodion spa,
Calozodion wadei,
Caltha palustris,Caltha palustris L.
Calthalotia arruensis,
Caltoris cahira,
Calvactaea tumida,
Calvetia,
Calvia quatuordecimguttata,
Calwellia bicornis,
Calwellia gracilis,
Calybites phasianipennella,
Calycella syringa,
Calycomonas,
Calycomonas gracilis,
Calycophorae,
Calycophoran,
Calycopsis birulai,
Calycopsis borchgrevinki,
Calycopsis typa,
Calycoseris wrightii,Calycoseris wrightii A.Gray
Calylophus lavandulifolius,
Calylophus serrulatus,
Calypogeia,
Calypogeia azurea,
Calypte anna,
Calypte costae,
Calyptogena,
Calyptogena fausta,
Calyptogena fossajaponica,
Calyptogena kaikoi,
Calyptogena kawamurai,
Calyptogena laubieri,
Calyptogena magnocultellus,
Calyptogena nautilei,
Calyptogena okutanii,
Calyptogena phaseoliformis,
Calyptogena similaris,
Calyptogena soyoae,
Calyptogena tsubasa,
Calyptolana hancocki,
Calyptotheca,
Calyptotheca gigantea,
Calyptotheca immersa,
Calyptotheca janua,
Calyptotheca triangula,
Calyptotheca wasinensis,
Calyptraea,
Calyptraea centralis,
Calyptraea chinensis,
Calyptraea fastigiata,
Calyptraeidae,
Calyptranthes clusiifolia,Calyptranthes clusiifolia O.Berg
Calyptranthes concinna,Calyptranthes concinna DC.
Calyptranthes lucida,Calyptranthes lucida Mart. ex DC.
Calyptrosphaera,
Calyptrosphaera oblonga,
Calyptrosphaera sphaeroidea,
Calyptrosphaera uvella,
Calystegia macounii,Calystegia macounii (Greene) Brummitt
Camelina microcarpa,Camelina microcarpa Andrz. ex DC.
Cameraria ohridella,
Camnula pellucida,
Campaea margaritata,
Campaea perlata,
Campanile symbolicum,
Campanula barbata,Campanula barbata L.
Campanula collina,Campanula collina Sims
Campanula lasiocarpa,Campanula lasiocarpa Cham.
Campanula patula,Campanula patula L.
Campanula rotundifolia,Campanula rotundifolia L.
Campanula scheuchzeri,Campanula scheuchzeri Vill.
Campanula tridentata,Campanula tridentata Schreb.
Campanularia,
Campanularia gelatinosa,
Campanularia groenlandica,
Campanularia hincksii,
Campanularia integra,
Campanularia verticillata,
Campanularia volubilis,
Campanulariidae,
Campanulinidae,
Campecopea hirsuta,
Campeloma decisum,
Campephagidae,
Camplyonotus rathbonae,
Campnosperma auriculata,Campnosperma auriculata (Blume) Hook.f.
Campomanesia,
Campomanesia aurea,Campomanesia aurea O.Berg
Campomanesia guaviroba,Campomanesia guaviroba (DC.) Kiaersk.
Campomanesia guazumifolia,Campomanesia guazumifolia (Cambess.) O.Berg
Campomanesia velutina,Campomanesia velutina (Cambess.) O.Berg
Campomanesia xanthocarpa,Campomanesia xanthocarpa (Mart.) O.Berg
Camposcia retusa,
Campostoma anamolum,
Campostoma anomala,
Campostoma anomalum,
Campsurus,
Camptandrium sexdentatum,
Camptocercus,
Camptocercus rectirostris,
Camptogramma bilineata,
Camptoplites asymmetricus,
Camptoplites bicornis,
Camptoplites elatior,
Camptoplites xenicus,
Camptostoma imberbe,
Campylacantha olivacea,
Campylaephora hypnaeoides,
Campylaspis,
Campylaspis affinis,
Campylaspis biplicata,
Campylaspis blakei,
Campylaspis canaliculata,
Campylaspis costa,
Campylaspis costata,
Campylaspis glabra,
Campylaspis hartae,
Campylaspis heardi,
Campylaspis horrida,
Campylaspis legendrei,
Campylaspis maculata,
Campylaspis rubicunda,
Campylaspis rubromaculata,
Campylaspis rufa,
Campylaspis spb,
Campylaspis umbensis,
Campylium stellatum,
Campylodiscus,
Campylodiscus fastuosus,
Campylopus schimperi,
Campylorhynchus brunneica,
Campylorhynchus brunneicapillus,
Canaceidae,
Canada,
Cananga odorata,Cananga odorata (Lam.) Hook.f. & Thomson
Canarium apertum,Canarium apertum H.J.Lam
Canarium australasicum,Canarium australasicum (F.M.Bailey) Leenh.
Canarium lanceolata,
Canarium littorale,Canarium littorale Blume
Canarium megalanthum,Canarium megalanthum Merr.
Canarium muelleri,Canarium muelleri F.M.Bailey
Canarium patentinervium,Canarium patentinervium Miq.
Canarium pilosum,Canarium pilosum A.W.Benn.
Canarium pseudoglauca,
Canarium purpurescens,
Canarium rufum,Canarium rufum A.W.Benn.
Canarium strictum,Canarium strictum Roxb.
Canarium sumatrana,
Canarium tomentosum,Canarium littorale Blume
Cancellaria reticulata,
Cancellariidae,
Cancellus ornatus,
Cancer,
Cancer antennarius,
Cancer bellianus,
Cancer borealis,
Cancer gracilis,
Cancer irroratus,
Cancer jordani,
Cancer magister,
Cancer novaezelandiae,
Cancer oregonensis,
Cancer pagurus,
Cancer productus,
Cancilla fillaris,
Cancilla granatina,
Cancridae,
Cancridea,
Canda,
Canda filifera,
Canda pecten,
Candacia,
Candacia aethiopica,
Candacia armata,
Candacia bipinnata,
Candacia bispinosa,
Candacia bradyi,
Candacia catula,
Candacia cheirura,
Candacia columbiae,
Candacia curta,
Candacia discaudata,
Candacia elongata,
Candacia ethiopica,
Candacia ketchumi,
Candacia longimana,
Candacia norvegica,
Candacia pachydactyla,
Candacia paenelongimana,
Candacia simplex,
Candacia tenuimana,
Candacia truncata,
Candacia varicans,
Candacia worthingtoni,
Candelabrum phrygium,
Candidae,
Candidaspongia flabellata,
Candomenipea norfolkensis,
Candona,
Caneosphaera,
Caneosphaera molischi,
Caneosphaera molischii,
Caniformia,
Cannabis sativa,Cannabis sativa L.
Cantharid,
Cantharidae,
Cantharis cryptica,
Cantharis decipiens,
Cantharis fusca,
Cantharis lateralis,
Cantharis livida,
Cantharis nigra,
Cantharis obscura,
Cantharis pallida,
Cantharis rufa,
Cantharus,
Cantharus cancellarius,
Cantherhines,
Cantherhines dumerilii,
Cantherhines fronticinctus,
Cantherhines macrocerus,
Cantherhines pardalis,
Cantherhines pullus,
Cantherhines sandwichiensis,
Canthidermis maculata,
Canthidermis sufflamen,
Canthigaster,
Canthigaster bennetti,
Canthigaster callisterna,
Canthigaster compressa,
Canthigaster coronata,
Canthigaster janthinoptera,
Canthigaster ocellicincta,
Canthigaster papua,
Canthigaster pygmaea,
Canthigaster rivulata,
Canthigaster rostrata,
Canthigaster solandri,
Canthigaster unknown,
Canthigaster valentini,
Canthigaster valentinii,
Canthium dicoccum,Psydrax dicoccos Gaertn.
Canthocalanus,
Canthocalanus pauper,
Canthocamptus staphylinus,
Cantrainea jamsteci,
Canyon,
Capaila,
Cape petrel,
Capelio tabularis,Capelio tabularis (Thunb.) B.Nord.
Capeobolus brevicaulis,Capeobolus brevicaulis (C.B.Clarke) Browning
Capeochloa cincta,Capeochloa cincta (Nees) H.P.Linder & al.
Capila lineata,
Capila pauripunetata,
Capilliporcellana wolffi,
Capitella,
Capitella capitata,
Capitella hermaphrodita,
Capitella jonesi,
Capitella minima,
Capitella oculata,
Capitella ovincola,
Capitella spb,
Capitella teleta,
Capitella tripartita,
Capitellethus,
Capitellida,
Capitellidae,
Capitellidae spec,
Capitellides,
Capitellides giardi,
Capitellides jonesi,
Capitomastus,
Capitomastus minimus,
Capparidastrum frondosum,Capparidastrum frondosum (Jacq.) Cornejo & Iltis
Caprella,
Caprella acanthifera,
Caprella acanthogaster,
Caprella alaskana,
Caprella andreae,
Caprella californica,
Caprella carina,
Caprella drepanochir,
Caprella equilibra,
Caprella fretensis,
Caprella geometrica,
Caprella gracilior,
Caprella grahami,
Caprella kroeyeri,
Caprella laeviuscula,
Caprella linearis,
Caprella mendax,
Caprella natalensis,
Caprella penantis,
Caprella pilidigitata,
Caprella scaura,
Caprella septemtrionalis,
Caprella septentrionalis,
Caprella tuberculata,
Caprella unica,
Caprella verrucosa,
Caprellida,
Caprellidae,
Caprellidae indet,
Caprellidea,
Caprelloidea,
Capreolus capreolus,
Capreolus pigagrus,
Capricornis crispus,
Caprimulgus carolinensis,
Caprimulgus europaeus,
Caprimulgus indicus,
Caprimulgus vociferus,
Caprinsula,
Caprodon longimanus,
Caproidae,
Capromimus abbreviatus,
Capros aper,
Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.
Capsosiphon fulvescens,
Capua vulgana,
Capulus,
Capulus sycophanta,
Capulus ungaricus,
Carabid,
Carabidae,
Carabini,
Carabus,
Carabus albrechti,
Carabus arboreus,
Carabus arrowianus,
Carabus blaptoides,
Carabus chugokuensis,
Carabus conciliator,
Carabus dehaanii,
Carabus gehinii,
Carabus granulatus,
Carabus harmandi,
Carabus insulicola,
Carabus iwawakianus,
Carabus japonicus,
Carabus kumagaii,
Carabus kyushuensis,
Carabus maiyasanus,
Carabus opaculus,
Carabus procerulus,
Carabus tosanus,
Carabus vanvolxemi,
Carabus yamato,
Caracanthus maculatus,
Caracolla caracolus,
Caracolus caracolla,
Caracolus marginella,
Caradrina morpheus,
Carallia brachiata,Carallia brachiata (Lour.) Merr.
Carangidae,
Carangidae unidentified,
Carangoides,
Carangoides armatus,
Carangoides bajad,
Carangoides bartholomaei,
Carangoides caeruleopinnatus,
Carangoides chrysophrys,
Carangoides dinema,
Carangoides equula,
Carangoides ferdau,
Carangoides fulvoguttatus,
Carangoides gymnostethus,
Carangoides hedlandensis,
Carangoides humerosus,
Carangoides malabaricus,
Carangoides orthogrammus,
Carangoides plagiotaenia,
Carangoides ruber,
Carangoides talamparoides,
Caraninx crysos,
Caranx,
Caranx bartholomaei,
Caranx bucculentus,
Caranx crysos,
Caranx dentex,
Caranx hippos,
Caranx ignobilis,
Caranx kleinii,
Caranx latus,
Caranx lugubris,
Caranx melampygus,
Caranx papuensis,
Caranx rhonchus,
Caranx ruber,
Caranx sexfasciatus,
Caranx tille,
Caranx unknown,
Carapa guianensis,Carapa guianensis Aubl.
Carapidae,
Carapus,
Carapus bermudensis,
Carapy,
Carassius auratus,
Carassius carassius,
Carassius gibelio,
Carazziella,
Carazziella calafia,
Carazziella hobsonae,
Carbasea carbasea,
Carcharhinidae,
Carcharhinus,
Carcharhinus acronotus,
Carcharhinus albimarginatus,
Carcharhinus altimus,
Carcharhinus amblyrhynchoides,
Carcharhinus amblyrhynchos,
Carcharhinus amboinensis,
Carcharhinus brachyurus,
Carcharhinus brevipinna,
Carcharhinus cautus,
Carcharhinus dussumieri,
Carcharhinus falciformis,
Carcharhinus fitzroyensis,
Carcharhinus galapagensis,
Carcharhinus leucas,
Carcharhinus limbatus,
Carcharhinus longimanus,
Carcharhinus macloti,
Carcharhinus melanopterus,
Carcharhinus obscurus,
Carcharhinus plumbeus,
Carcharhinus porosus,
Carcharhinus signatus,
Carcharhinus sorrah,
Carcharhinus tilstoni,
Carcharias,
Carcharias taurus,
Carcharinus obscurus,
Carcharodon carcharias,
Carcharodus alceae,
Carcina quercana,
Carcinops pumilio,
Carcinus maenas,
Cardamine alpina,Cardamine bellidifolia L.
Cardamine bellidifolia,Cardamine bellidifolia L.
Cardamine hyperborea,Cardamine digitata Richardson
Cardamine nymanii,Cardamine nymanii Gand.
Cardamine pratensis,Cardamine pratensis L.
Cardaminopsis petraea,Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz
Cardellina canadensis,
Cardellina rubrifrons,
Cardiidae,
Cardinal,
Cardinalidae,
Cardinalis cardinalis,
Cardinalis sinuatus,
Cardiomya,
Cardiomya abyssicola,
Cardiomya costellata,
Cardiomya gemma,
Cardiomya ornatissima,
Cardiomya pectinata,
Cardiomya perrostrata,
Cardiomya planetica,
Cardiomya striata,
Cardiopetalum calophyllum,Cardiopetalum calophyllum Schltdl.
Cardiopoda richardi,
Cardita,
Cardita crassicosta,
Cardita incrassata,
Carditamera floridana,
Carditella torresi,
Carditidae,
Carduelini,
Carduelis caniceps,
Carduelis cannabina,
Carduelis carduelis,
Carduelis chloris,
Carduelis flammea,
Carduelis flavirostris,
Carduelis hornemanni,
Carduelis lawrencei,
Carduelis pinus,
Carduelis psaltria,
Carduelis spinus,
Carduelis tristis,
Carduus spinosissimus,Cirsium acaule (L.) Scop.
Cardwellia sublimis,Cardwellia sublimis F.Muell.
Careliopsis octona,
Careproctus,
Careproctus longipinnis,
Careproctus melanurus,
Careproctus micropus,
Careproctus ranula,
Careproctus rastrinus,
Careproctus reinhardti,
Caretta caretta,
Carex,
Carex aquatilis,Carex aquatilis Wahlenb.
Carex atrofusca,Carex atrofusca Schkuhr
Carex austrina,Carex austrina Mack.
Carex bigelowii,Carex bigelowii Torr. ex Schwein.
Carex blanda,Carex blanda Dewey
Carex brevior,Carex brevior (Dewey) Mack. ex Lunell
Carex brizoides,Carex brizoides L.
Carex canescens,Carex canescens L.
Carex capillaris,Carex capillaris L.
Carex caryophyllea,Carex caryophyllea Latourr.
Carex chordorrhiza,
Carex curta,Carex canescens L.
Carex curvula,Carex curvula All.
Carex dioica,Carex dioica L.
Carex douglasii,Carex douglasii Boott
Carex echinata,Carex echinata Murray
Carex firma,Carex firma Host
Carex flava,Carex flava L.
Carex fusca,Carex nigra (L.) Reichard
Carex gracilis,Carex acuta L.
Carex gravida,Carex gravida L.H.Bailey
Carex heliophila,Carex inops L.H.Bailey
Carex inops,Carex inops L.H.Bailey
Carex lachenalii,Carex lachenalii Schkuhr
Carex leporina,Carex leporina L.
Carex limosa,Carex limosa L.
Carex lyngbyei,Carex lyngbyei Hornem.
Carex meadii,Carex meadii Dewey
Carex membranacea,Carex membranacea Hook.
Carex microchaeta,Carex microchaeta Holm
Carex misandra,Carex fuliginosa Schkuhr
Carex montana,Carex montana L.
Carex nigra,Carex nigra (L.) Reichard
Carex norvegica,Carex norvegica Retz.
Carex oreophila,Carex oreophila C.A.Mey.
Carex ornithopoda,Carex ornithopoda Willd.
Carex pallescens,Carex pallescens L.
Carex panicea,Carex panicea L.
Carex parallela,Carex parallela (Laest.) Sommerf.
Carex parviflora,Carex parviflora Host
Carex pilulifera,Carex pilulifera L.
Carex praegracilis,Carex praegracilis W.Boott
Carex pyrenaica,Carex pyrenaica Wahlenb.
Carex rariflora,Carex rariflora (Wahlenb.) Sm.
Carex rostrata,Carex rostrata Stokes
Carex rotundata,Carex rotundata Wahlenb.
Carex rupestris,Carex rupestris All.
Carex saxatilis,Carex saxatilis L.
Carex sempervirens,Carex sempervirens Vill.
Carex subspathacea,Carex subspathacea Wormsk. ex Hornem.
Carex umbrosa,Carex umbrosa Host
Carex vaginata,Carex vaginata Tausch
Careya arborea,Careya arborea Roxb.
Cariblatta,
Caribseba tropica,
Caridea,
Caridean larva,
Caridion gordoni,
Caridion steveni,
Carijoa,
Carinaria lamarcki,
Cariniana estrellensis,Cariniana estrellensis (Raddi) Kuntze
Cariniana legalis,Cariniana legalis (Mart.) Kuntze
Carinobatea,
Carinobatea carinata,
Carinoma armandi,
Carinoma mutabilis,
Carinoma tremaphoros,
Carinomella lactea,
Carinomidae,
Carinosquilla australiensis,
Carinosquilla carita,
Carinosquilla redacta,
Carinosquilla thailandensis,
Caripeta aequaliaria,
Caripeta divisata,
Caristius,
Caristius macropus,
Caristius maderensis,
Carlina acaulis,Carlina acaulis L.
Carnarvonia araliifolia,Carnarvonia araliifolia F.Muell.
Carolina chickadee,
Carolina wren,
Carollia brevicauda,
Carollia castanea,
Carollia perspicillata,
Carpacoce spermacocea,Carpacoce spermacocea (Rchb. ex Spreng.) Sond.
Carpacoce vaginellata,Carpacoce vaginellata Salter
Carpelimus bilineatus,
Carpelimus corticinus,
Carpelimus lindbergi,
Carpelimus lindrothi,
Carpelimus obesus,
Carpelimus pusillus,
Carpelimus rivularis,
Carpias,
Carpias algicola,
Carpias bermudensis,
Carpias harrietae,
Carpilius convexus,
Carpinus betulus,Carpinus betulus L.
Carpiodes cyprinus,
Carpoapseudes caraspinosus,
Carpobrotus acinaciformis,Carpobrotus acinaciformis (L.) L.Bolus
Carpobrotus edulis,Carpobrotus edulis (L.) N.E.Br.
Carpodacus cassinii,
Carpodacus erythrinus,
Carpodacus mexicanus,
Carpodacus purpureus,
Carpodacus roseus,
Carpoides carpio,
Carpoides cyprinus,
Carpomitra costata,
Carpopeltis,
Carpoporus papulosus,
Carteria,
Carteria globulosa,
Carteria platyrhyncha,
Carterocephalus silvicola,
Cartodere constricta,
Carum carvi,Carum carvi L.
Carum caucasicum,Carum caucasicum (M.Bieb.) Boiss.
Carum meifolium,Carum meifolium (M.Bieb.) Boiss.
Carupa tenuipes,
Carya glabra,Carya glabra (Mill.) Sweet
Carya tomentosa,Carya alba (L.) Nutt. ex Elliott
Caryocar brasiliense,Caryocar brasiliense A.St.-Hil.
Caryocolum alsinella,
Caryocolum blandella,
Caryocolum fischerella,
Caryocolum fraternella,
Caryocolum marmorea,
Caryocolum proxima,
Caryocorbula porcella,
Caryophyllia,
Caryophyllia berteriana,
Caryophyllia horologium,
Caryophyllia inornata,
Caryophyllia smithii,
Caryophylliidae,
Caryota mitis,Caryota mitis Lour.
Caryota urens,Caryota urens L.
Casco bigelowi,
Casearia,
Casearia aculeata,Casearia aculeata Jacq.
Casearia arborea,Casearia arborea (Rich.) Urb.
Casearia clarkei,Casearia clarkei King
Casearia commersoniana,Casearia commersoniana Cambess.
Casearia costulata,Casearia costulata Jessup
Casearia dallachii,
Casearia decandra,Casearia decandra Jacq.
Casearia esculenta,Casearia zeylanica (Gaertn.) Thwaites
Casearia gossypiosperma,Casearia gossypiosperma Briq.
Casearia grandiflora,Casearia grandiflora Cambess.
Casearia grewiifolia,Casearia grewiifolia Vent.
Casearia guianensis,Casearia guianensis (Aubl.) Urb.
Casearia lasiophylla,Casearia lasiophylla Eichler
Casearia obliqua,Casearia obliqua Spreng.
Casearia ovata,Casearia ovata (Lam.) Willd.
Casearia rupestris,Casearia rupestris Eichler
Casearia sylvestris,Casearia sylvestris Sw.
Casearia zahlbruckneri,Casearia zahlbruckneri Szyszyl.
Casmaria ponderosa,
Casmerodius albus,
Cassia ferruginea,Cassia ferruginea (Schrad.) DC.
Cassia fistula,Cassia fistula L.
Cassia leptadenia,Chamaecrista nictitans (L.) Moench
Cassia montana,Senna montana (Roth) V.Singh
Cassia nodosa,Cassia javanica L.
Cassidinidea lunifrons,
Cassidinidea ovalis,
Cassine glauca,Elaeodendron glaucum (Rottb.) Pers.
Cassine peragua,Cassine peragua L.
Cassins,
Cassiope tetragona,Cassiope tetragona (L.) D.Don
Cassipourea elliptica,Cassipourea guianensis Aubl.
Cassis,
Cassis madagascariensis,
Cassytha ciliolata,Cassytha ciliolata Nees
Cassytha filiformis,Cassytha filiformis L.
Castalius rosimon,
Castanopsis chrysophylla,Chrysolepis chrysophylla (Douglas ex Hook.) Hjelmq.
Castanopsis curtisii,Castanopsis curtisii King
Castanopsis inermis,Castanopsis inermis (Lindl.) Benth. & Hook.f.
Castanopsis megacarpa,Castanopsis megacarpa Gamble
Castanopsis nephelioides,Castanopsis nephelioides King ex Hook.f.
Castanopsis schefferiana,Castanopsis schefferiana Hance
Castanospermum australe,Castanospermum australe A.Cunn. & C.Fraser
Castanospora alphandii,Castanospora alphandii (F.Muell.) F.Muell.
Castilleja angustifolia,Castilleja angustifolia (Nutt.) G.Don
Castilleja hyperborea,Castilleja hyperborea Pennell
Castilleja sessiliflora,Castilleja sessiliflora Pursh
Catablema,
Catablema vesicarium,
Catablema vesicarum,
Catabrosella variegata,Colpodium variegatum (Boiss.) Boiss. ex Griseb.
Cataclysta lemnata,
Cataetyx,
Cataetyx alleni,
Cataetyx laticeps,
Cataetyx niki,
Catalaphyllia,
Catalepidia heyana,Catalepidia heyana (F.M.Bailey) P.H.Weston
Catapagurus,
Catapagurus gracilis,
Catapagurus sharreri,
Cataphellia brodricii,
Catarhoe cuculata,
Catasomus commersoni,
Catenella caespitosa,
Catenicella,
Catenicella constans,
Catenicella elegans,
Catenicella perforata,
Catenicella venusta,
Catharacta,
Catharacta antarctica,
Catharacta lonnbergi,
Catharacta maccormicki,
Catharacta skua,
Cathartes aura,
Catharus bicknelli,
Catharus fuscescens,
Catharus guttatus,
Catharus minimus,
Catharus mustelinus,
Catharus ustulatus,
Catherpes mexicanus,
Cathorops spixii,
Catillopecten,
Catocala aholibah,
Catocala allusa,
Catocala fraxini,
Catocala nupta,
Catocala promissa,
Catocala relicta,
Catocala sponsa,
Catochrysops panormus,
Catopsilia pomona,
Catoptria falsella,
Catoptria margaritella,
Catoptria osthelderi,
Catoptria permutatella,
Catoptria pinella,
Catoptrophorus semipalmatus,
Catoptrus,
Catoscopium nigritum,
Catostomus commersoni,
Catriona gymnota,
Caudina,
Caudina arenata,
Caudina arenicola,
Caudofoveata,
Caulastraea,
