parsed,lcvp
Polyalthia lateriflora,Polyalthia lateriflora (Blume) Kurz
Polyalthia michaelii,Monoon michaelii (C.T.White) B.Xue & R.M.K.Saunders
Polyalthia nitidissima,Huberantha nitidissima (Dunal) Chaowasku
Polyalthia obliqua,Polyalthia obliqua Hook.f. & Thomson
Polyalthia rumphii,Huberantha rumphii (Blume ex Henschen) Chaowasku
Polyalthia sclerophylla,Monoon sclerophyllum (Hook.f. & Thomson) B.Xue & R.M.K.Saunders
Polyalthia stenopetala,Polyalthia stenopetala (Hook.f. & Thomson) Finet & Gagnep.
Polyalthia sumatrana,Maasia sumatrana (Miq.) Mols & al.
Polyarrhena reflexa,Polyarrhena reflexa (L.) Cass.
Polygala,
Polygala alba,Polygala alba Nutt.
Polygala alpestris,Polygala alpestris Rchb.
Polygala bracteolata,Polygala bracteolata L.
Polygala chamaebuxus,Polygaloides chamaebuxus (L.) O.Schwarz
Polygala garcinii,
Polygala incarnata,Polygala incarnata L.
Polygala linoides,Polygala linoides Poir.
Polygala pumila,Polygala pumila Norlind
Polygala rupestris,Polygala rupestris Pourr.
Polygala verticillata,Polygala verticillata L.
Polygala vulgaris,Polygala vulgaris L.
Polygonatum multiflorum,Polygonatum multiflorum (L.) All.
Polygonatum odoratum,Polygonatum odoratum (Mill.) Druce
Polygonatum verticillatum,Polygonatum verticillatum (L.) All.
Polygonum,
Polygonum achoreum,Polygonum achoreum S.F.Blake
Polygonum amphibium,Persicaria amphibia (L.) Delarbre
Polygonum aviculare,Polygonum aviculare L.
Polygonum bistorta,Bistorta officinalis Delarbre
Polygonum buxiforme,Polygonum aviculare L.
Polygonum douglasii,Polygonum douglasii Greene
Polygonum hydropiperoides,Persicaria hydropiperoides (Michx.) Small
Polygonum pensylvanicum,Persicaria bungeana (Turcz.) Nakai ex Mori
Polygonum ramosissimum,Polygonum ramosissimum Michx.
Polygonum scandens,Fallopia scandens (L.) Holub
Polygonum tenue,Polygonum tenue Michx.
Polygonum viviparum,Bistorta affinis (D.Don) Greene
Polyosma alangiacea,Polyosma alangiacea F.Muell.
Polyosma hirsuta,Polyosma hirsuta C.T.White
Polyosma laete-virens,
Polyosma rhytophloia,Polyosma rhytophloia C.T.White & W.D.Francis
Polyscias australiana,Polyscias australiana (F.Muell.) Philipson
Polyscias elegans,Polyscias elegans (C.Moore & F.Muell.) Harms
Polyscias murrayi,Polyscias murrayi (F.Muell.) Harms
Pomaria jamesii,Caesalpinia jamesii (Torr. & A.Gray) Fisher
Pombalia prunifolia,Pombalia prunifolia (Kunth ex Roem. & Schult.) Paula-Souza
Pometia pinnata,Pometia pinnata J.R.Forst. & G.Forst.
Pontederia cordata,Pontederia cordata L.
Popowia pisocarpa,Popowia pisocarpa (Blume) Endl. ex Walp.
Popowia tomentosa,Popowia tomentosa Maingay ex Hook.f. & Thomson
Populus,
Populus alba,Populus alba L.
Populus deltoides,Populus deltoides Marshall
Populus grandidentata,Populus grandidentata Michx.
Populus pinnata,
Populus tremula,Populus tremula L.
Populus tremuloides,Populus tremuloides Michx.
Populus trichocarpa,Populus balsamifera L.
Porophyllum lanceolatum,Porophyllum lanceolatum DC.
Porterandia anisophylla,Porterandia anisophylla (Jack ex Roxb.) Ridl.
Portulaca,
Portulaca halimoides,
Portulaca oleracea,Portulaca oleracea L.
Portulaca parvula,Portulaca halimioides L.
Posoqueria coriacea,Posoqueria coriacea M.Martens & Galeotti
Posoqueria latifolia,Posoqueria latifolia (Rudge) Schult.
Potalia amara,Potalia amara Aubl.
Potamogeton,
Potamogeton crispus,Potamogeton crispus L.
Potamogeton illinoensis,Potamogeton illinoensis Morong
Potamogeton perfoliatus,Potamogeton perfoliatus L.
Potamogeton pusillus,Potamogeton pusillus L.
Potentilla,
Potentilla anserina,Argentina anserina (L.) Rydb.
Potentilla argentea,Potentilla argentea L.
Potentilla aurea,Potentilla aurea L.
Potentilla crantzii,Potentilla crantzii (Crantz) Beck ex Fritsch
Potentilla erecta,Potentilla erecta (L.) Raeusch.
Potentilla gelida,Potentilla crantzii (Crantz) Beck ex Fritsch
Potentilla grandiflora,Potentilla grandiflora L.
Potentilla hyparctica,Potentilla hyparctica Malte
Potentilla norvegica,Potentilla norvegica L.
Potentilla recta,Potentilla recta L.
Potentilla reptans,Potentilla reptans L.
Potentilla simplex,Potentilla simplex Michx.
Potentilla uniflora,Potentilla uniflora Ledeb.
Poulsenia armata,Poulsenia armata (Miq.) Standl.
Pourouma bicolor,Pourouma bicolor Mart.
Pouteria,
Pouteria brownlessiana,Pleioluma brownlessiana (F.Muell.) Swenson & Munzinger
Pouteria castanosperma,Vanroyena castanosperma (C.T.White) Aubrév.
Pouteria chartacea,Planchonella chartacea (F.Muell. ex Benth.) H.J.Lam
Pouteria euphlebia,Planchonella euphlebia (F.Muell.) Francis
Pouteria fossicola,Pouteria fossicola Cronquist
Pouteria gardneriana,Pouteria gardneriana (A.DC.) Radlk.
Pouteria lisa,
Pouteria malaccensis,Planchonella malaccensis (C.B.Clarke) Swenson
Pouteria myrsinifolia,Planchonella myrsinifolia (F.Muell.) Swenson & al.
Pouteria myrsinodendron,Planchonella myrsinodendron (F.Muell.) Swenson & al.
Pouteria papyracea,Pleioluma papyracea (P.Royen) Swenson
Pouteria pearsoniorum,Pleioluma macrocarpa (P.Royen) Swenson
Pouteria ramiflora,Pouteria ramiflora (Mart.) Radlk.
Pouteria reticulata,Pouteria reticulata (Engl.) Eyma
Pouteria stipitata,Pouteria stipitata Cronquist
Pouteria torta,Pouteria torta (Mart.) Radlk.
Pouteria xerocarpa,Pleioluma xerocarpa (F.Muell. ex Benth.) Swenson
Pradosia brevipes,Pradosia brevipes (Pierre) T.D.Penn.
Prainea limpato,Prainea limpato (Miq.) Beumee ex K.Heyne
Premna tomentosa,Premna tomentosa Willd.
Prenanthes purpurea,Prenanthes purpurea L.
Prestoea acuminata,Prestoea acuminata (Willd.) H.E.Moore
Prestoea decurrens,Prestoea decurrens (H.Wendl. ex Burret) H.E.Moore
Primula algida,Primula algida Adams
Primula farinosa,Primula farinosa L.
Primula integrifolia,Primula integrifolia L.
Primula latifolia,Primula latifolia Lapeyr.
Primula ruprechtii,Primula ruprechtii Kusn. ex Lipsky
Primula scandinavica,Primula scandinavica Brunner
Primula veris,Primula veris L.
Prioria copaifera,Prioria copaifera Griseb.
Prismatocarpus sessilis,Prismatocarpus sessilis Eckl. ex A.DC.
Prismatomeris,
Prismatomeris glabra,Prismatomeris glabra (Korth.) Valeton
Proboscidea parviflora,Proboscidea parviflora (Wooton) Wooton & Standl.
Prockia crucis,Prockia crucis L.
Proserpinaca palustris,Proserpinaca palustris L.
Prosopis glandulosa,Prosopis glandulosa Torr.
Protea acaulos,Protea acaulos (L.) Reichard
Protea cynaroides,Protea cynaroides (L.) L.
Protea lepidocarpodendron,Protea lepidocarpodendron (L.) L.
Protium confusum,Protium confusum (Rose) Pittier
Protium costaricense,Protium costaricense (Rose) Engl.
Protium glabrum,Protium glabrum (Rose) Engl.
Protium heptaphyllum,Protium heptaphyllum (Aubl.) Marchand
Protium panamense,Protium panamense (Rose) I.M.Johnst.
Protium tenuifolium,Protium tenuifolium (Engl.) Engl.
Protium widgrenii,Protium widgrenii Engl.
Prumnopitys ladei,Prumnopitys ladei (F.M.Bailey) DeLaub.
Prumus myrtifolia,
Prunella vulgaris,Prunella vulgaris L.
Prunus,
Prunus americana,Prunus americana Marshall
Prunus angustifolia,Prunus angustifolia Marshall
Prunus arborea,Prunus arborea (Blume) Kalkman
Prunus emarginata,Prunus emarginata (Douglas ex Hook.) Walp.
Prunus gracilis,Prunus gracilis Engelm. & A.Gray
Prunus grisea,Prunus grisea (Blume ex Müll.Berol.) Kalkman
Prunus myrtifolia,Prunus myrtifolia (L.) Urb.
Prunus pensylvanica,Prunus pensylvanica L.f.
Prunus recurviflora,Prunus integrifolia (C.Presl) Walp.
Prunus rufum,
Prunus serotina,Prunus serotina Ehrh.
Prunus spinosa,Prunus spinosa L.
Prunus stipulaceum,
Prunus turneriana,Prunus turneriana (F.M.Bailey) Kalkman
Prunus virginiana,Prunus virginiana L.
Pseudobombax grandiflorum,Pseudobombax grandiflorum (Cav.) A.Robyns
Pseudobombax longiflorum,Pseudobombax longiflorum (Mart.) A.Robyns
Pseudobombax septenatum,Pseudobombax septenatum (Jacq.) Dugand
Pseudobombax tomentosum,Pseudobombax tomentosum (Mart. & Zucc.) A.Robyns
Pseudoeugenia singaporensis,Syzygium singaporense (King) AiryShaw
Pseudognaphalium obtusifolium,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt
Pseudolmedia laevigata,Pseudolmedia laevigata Trécul
Pseudolmedia spuria,Pseudolmedia spuria (Sw.) Griseb.
Pseudopentameris macrantha,Pseudopentameris macrantha (Schrad.) Conert
Pseudorchis albida,Pseudorchis albida (L.) Á.Löve & D.Löve
Pseudoroegneria spicata,Elymus spicatus (Pursh) Gould
Pseudoselago serrata,Pseudoselago serrata (P.J.Bergius) Hilliard
Pseudoselago spuria,Pseudoselago spuria (L.) Hilliard
Pseudotsuga menziesii,Pseudotsuga menziesii (Mirb.) Franco
Pseudoweinmannia lachnocarpa,Pseudoweinmannia lachnocarpa (F.Muell.) Engl.
Pseuduvaria froggattii,Pseuduvaria froggattii (F.Muell.) Jessup
Pseuduvaria macrophylla,Pseuduvaria macrophylla (Oliv.) Merr.
Psidium,
Psidium ooideum,Psidium guineense Sw.
Psidium sartorianum,Psidium sartorianum (O.Berg) Nied.
Psidium tomentosum,Psidium tomentosum Barb.Rodr.
Psilostrophe tagetina,Psilostrophe tagetina (Nutt.) Greene
Psoralea asarina,Psoralea asarina (P.J.Bergius) T.M.Salter
Psoralea cuspidata,Pediomelum cuspidatum (Pursh) Rydb.
Psoralea imbricata,Psoralea imbricata (L.f.) T.M.Salter
Psoralea laxa,Psoralea laxa T.M.Salter
Psoralea pinnata,Psoralea pinnata L.
Psoralea repens,Psoralea repens P.J.Bergius
Psoralea tenuiflora,Pediomelum tenuiflorum (Pursh) A.N.Egan
Psoralidium tenuiflorum,Pediomelum tenuiflorum (Pursh) A.N.Egan
Psychotria acuminata,Palicourea acuminata (Benth.) Borhidi
Psychotria allenii,Palicourea allenii (Standl.) Borhidi
Psychotria brachybotrya,Palicourea gracilenta (Müll.Arg.) Borhidi
Psychotria carthagenensis,Psychotria carthagenensis Jacq.
Psychotria chagrensis,Psychotria chagrensis Standl.
Psychotria deflexa,Palicourea deflexa (DC.) Borhidi
Psychotria elata,Palicourea elata (Sw.) Borhidi
Psychotria erecta,Ronabea latifolia Aubl.
Psychotria graciliflora,Psychotria biaristata Bartl. ex DC.
Psychotria grandis,Psychotria grandis Sw.
Psychotria griffithii,Psychotria griffithii Hook.f.
Psychotria horizontalis,Psychotria horizontalis Sw.
Psychotria limonensis,Psychotria limonensis K.Krause
Psychotria marginata,Psychotria marginata Sw.
Psychotria poeppigiana,Palicourea tomentosa (Aubl.) Borhidi
Psychotria psychotriifolia,Psychotria psychotriifolia (Seem.) Standl.
Psychotria rostrata,Psychotria rostrata Blume
Psychotria suerrensis,Palicourea suerrensis (Donn.Sm.) Borhidi
Psychotria sylvivaga,Psychotria sylvivaga Standl.
Psychotria tenuifolia,Psychotria tenuifolia Sw.
Psychotria vauthieri,Palicourea deflexa (DC.) Borhidi
Psychotria vellosiana,Psychotria vellosiana Benth.
Psydrax,
Psydrax lamprophylla,Psydrax lamprophylla (F.Muell.) Bridson
Psydrax maingayi,Psydrax maingayi (Hook.f.) Bridson
Psydrax montigena,Psydrax montigena S.T.Reynolds & R.J.F.Hend.
Psydrax tropica,Psydrax tropica S.T.Reynolds & R.J.F.Hend.
Pteleocarpa lamponga,Pteleocarpa lamponga (Miq.) Bakh. ex K.Heyne
Pteridium aquilinum,Pteridium aquilinum (L.) Kuhn
Pternandra coerulescens,
Pternandra echinata,Pternandra echinata Jack
Pterocarpus hayesii,Pterocarpus rohrii Vahl
Pterocarpus marsupium,Pterocarpus marsupium Roxb.
Pterocarpus officinalis,Pterocarpus officinalis Jacq.
Pterocarpus rohrii,Pterocarpus rohrii Vahl
Pterocaulon alopecuroides,Pterocaulon alopecuroides (Lam.) DC.
Pterocaulon rugosum,Pterocaulon rugosum (Vahl) Malme
Pterocymbium tubulatum,Pterocymbium tubulatum Pierre
Pterogyne nitens,Pterogyne nitens Tul.
Pterospermum diversifolium,Pterospermum diversifolium Blume
Ptychopyxis caput-medusae,
Ptychopyxis costata,Ptychopyxis costata Miq.
Pullea stutzeri,Pullea stutzeri (F.Muell.) Gibbs
Pulsatilla apiifolia,Pulsatilla alpina (L.) Delarbre
Pulsatilla vernalis,Pulsatilla vernalis (L.) Mill.
Purshia tridentata,Purshia tridentata (Pursh) DC.
Pyrenaria acuminata,Pyrenaria acuminata Planch. ex Choisy
Pyrola,
Pyrola grandiflora,Pyrola grandiflora Radius
Pyrola minor,Pyrola minor L.
Pyrola secunda,Orthilia secunda (L.) House
Pyrostegia,
Pyrus pyraster,Pyrus communis L.
Qualea cordata,Qualea cordata Spreng.
Qualea dichotoma,Qualea cordata Spreng.
Qualea grandiflora,Qualea grandiflora Mart.
Qualea multiflora,Qualea multiflora Mart.
Qualea parviflora,Qualea parviflora Mart.
Quararibea,
Quararibea asterolepis,Quararibea asterolepis Pittier
Quassia amara,Quassia amara L.
Quassia baileyana,Samadera baileyana Oliv.
Quercus,
Quercus alba,Quercus alba L.
Quercus argentata,Quercus argentata Korth.
Quercus coccinea,Quercus coccinea Münchh.
Quercus elipsoidalis,
Quercus garryana,Quercus garryana Douglas ex Hook.
Quercus gemelliflora,Quercus gemelliflora Blume
Quercus grisea,Quercus grisea Liebm.
Quercus kelloggii,Quercus kelloggii Newb.
Quercus macrocarpa,Quercus macrocarpa Michx.
Quercus palaeolithicola,Quercus palaeolithicola_x Trel.
Quercus petraea,Quercus petraea (Matt.) Liebl.
Quercus prinoides,Quercus prinoides Willd.
Quercus pubescens,Quercus pubescens Willd.
Quercus robur,Quercus robur L.
Quercus rubra,Quercus rubra L.
Quercus stellata,Quercus stellata Wangenh.
Quercus turbinella,Quercus turbinella Greene
Quercus velutina,Quercus velutina Lam.
Quiina schippii,Quiina schippii Standl.
Quillaja brasiliensis,Quillaja brasiliensis (A.St.-Hil. & Tul.) Mart.
Radermachera pinnata,Radermachera pinnata (Blanco) Seem.
Radermachera xylocarpa,Radermachera xylocarpa (Roxb.) Roxb. ex K.Schum.
Rafinesquia neomexicana,Rafinesquia neomexicana A.Gray
Rafnia crassifolia,Rafnia crassifolia Harv.
Randia armata,Randia armata (Sw.) DC.
Randia ferox,Randia ferox (Cham. & Schltdl.) DC.
Ranunculus,
Ranunculus acris,Ranunculus acris L.
Ranunculus auricomus,Ranunculus auricomus L.
Ranunculus bulbosus,Ranunculus bulbosus L.
Ranunculus ficaria,Ficaria verna Huds.
Ranunculus flammula,Ranunculus flammula L.
Ranunculus hyperboreus,Ranunculus hyperboreus Rottb.
Ranunculus kuepferi,Ranunculus kuepferi Greuter & Burdet
Ranunculus lapponicus,Ranunculus lapponicus L.
Ranunculus montanus,Ranunculus montanus Willd.
Ranunculus nemorosus,Anemone nemorosa L.
Ranunculus nivalis,Ranunculus nivalis L.
Ranunculus oreophilus,Ranunculus breyninus Crantz
Ranunculus polyanthemos,Ranunculus polyanthemos L.
Ranunculus pygmaeus,Ranunculus pygmaeus Wahlenb.
Ranunculus repens,Ranunculus repens L.
Ranunculus villarsii,Ranunculus villarsii DC.
Rapanea,
Rapanea ferruginea,Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.
Rapanea gardneriana,Myrsine gardneriana A.DC.
Rapanea guianensis,Myrsine guianensis (Aubl.) Kuntze
Rapanea lancifolia,Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.
Rapanea umbellata,Myrsine umbellata Mart.
Ratibida columnaris,Ratibida columnifera (Nutt.) Wooton & Standl.
Ratibida columnifera,Ratibida columnifera (Nutt.) Wooton & Standl.
Rauvolfia littoralis,Rauvolfia littoralis Rusby
Reinwardtiodendron anaimalaiense,
Reinwardtiodendron cinereum,Reinwardtiodendron cinereum (Hiern) Mabb.
Relbunium richardianum,Galium richardianum (Gillies ex Hook. & Arn.) Endl. ex Walp.
Restio bifurcus,Restio bifurcus Nees ex Mast.
Restio capensis,Restio capensis (L.) H.P.Linder & C.R.Hardy
Restio cincinnatus,Restio cincinnatus Mast.
Restio dodii,Restio dodii Pillans
Restio egregius,Restio egregius Hochst.
Restio eleocharis,Restio eleocharis Nees ex Mast.
Restio filiformis,Restio filiformis Poir.
Restio leptostachyus,Restio leptostachyus Kunth
Restio paludosus,Restio paludosus Pillans
Restio quinquefarius,Restio quinquefarius Nees
Restio ramosissimus,Restio ramosissimus H.P.Linder & C.R.Hardy
Restio sarocladus,Restio saroclados Mast.
Restio triticeus,Restio triticeus Rottb.
Restio vimineus,Restio vimineus Rottb.
Rhamnella vitiensis,Dallachya vitiensis (Benth.) F.Muell.
Rhamnidium elaeocarpum,Rhamnidium elaeocarpum Reissek
Rhamnidium elaeocarpus,
Rhamnus,
Rhamnus cathartica,Rhamnus cathartica L.
Rhamnus catharticus,
Rhamnus frangula,Frangula alnus Mill.
Rhamnus purshiana,Frangula purshiana Cooper
Rhamnus sphaerosperma,Frangula sphaerosperma (Sw.) Kartesz & Gandhi
Rheedia,
Rhinanthus alectorolophus,Rhinanthus alectorolophus (Scop.) Pollich
Rhinanthus minor,Rhinanthus minor L.
Rhizophora mangle,Rhizophora mangle L.
Rhodamnia blairiana,Rhodamnia blairiana F.Muell.
Rhodamnia cinerea,Rhodamnia cinerea Jack
Rhodamnia costata,Rhodamnia costata A.J.Scott
Rhodamnia sessiliflora,Rhodamnia sessiliflora Benth.
Rhodamnia sharpeana,Rhodamnia sharpeana N.Snow
Rhodamnia spongiosa,Rhodamnia glauca Blume
Rhodiola rosea,Rhodiola rosea L.
Rhododendron ferrugineum,Rhododendron ferrugineum L.
Rhododendron groenlandicum,Rhododendron groenlandicum (Oeder) Kron & Judd
Rhododendron hirsutum,Rhododendron hirsutum L.
Rhododendron lapponicum,Rhododendron lapponicum (L.) Wahlenb.
Rhododendron tomentosum,Rhododendron tomentosum Harmaja
Rhodomyrtus macrocarpa,Rhodomyrtus macrocarpa Benth.
Rhodomyrtus pervagata,Rhodomyrtus pervagata Guymer
Rhodostemonodaphne,
Rhus,
Rhus aromatica,Rhus aromatica Aiton
Rhus copallina,Rhus copallina L.
Rhus glabra,Rhus glabra L.
Rhus micophylla,
Rhus microphylla,Rhus microphylla Engelm.
Rhus radicans,Toxicodendron radicans (L.) Kuntze
Rhus trilobata,Rhus trilobata Nutt.
Rhus typhina,Rhus typhina L.
Rhynchosia ferulifolia,Rhynchosia ferulifolia Benth. ex Harv. & Sond.
Rhynchospora,
Rhynchospora corniculata,Rhynchospora corniculata (Lam.) A.Gray
Rhynchospora divergens,Rhynchospora divergens Chapm. ex M.A.Curtis
Rhynchospora microcephala,Rhynchospora microcephala (Britton) Britton
Rhynchospora tracyi,Rhynchospora tracyi Britton
Ribes missouriense,Ribes missouriense Nutt.
Richardia grandiflora,Richardia grandiflora (Cham. & Schltdl.) Steud.
Rinorea anguifera,Rinorea anguifera (Lour.) Kuntze
Rinorea bengalensis,Rinorea wallichiana (Hook.f. & Thomson) Kuntze
Rinorea horneri,Rinorea horneri (Korth.) Kuntze
Rinorea sclerocarpa,Rinorea sclerocarpa (Burgersd.) M.Jacobs
Rinorea sylvatica,Rinorea sylvatica (Seem.) Kuntze
Ristantia pachysperma,Ristantia pachysperma (F.Muell. & F.M.Bailey) PeterG.Wilson & J.T.Waterh.
Robinia pseudacacia,Robinia pseudoacacia L.
Robinia pseudoacacia,Robinia pseudoacacia L.
Rockinghamia angustifolia,Rockinghamia angustifolia (Benth.) AiryShaw
Roella amplexicaulis,Roella amplexicaulis Wolley-Dod
Roella ciliata,Roella ciliata L.
Roella decurrens,Roella decurrens L'Hér.
Roella prostrata,Roella prostrata E.Mey. ex A.DC.
Roella recurvata,Roella recurvata A.DC.
Roella triflora,Roella triflora (R.D.Good) Adamson
Roepera spinosa,Roepera spinosa (L.) Beier & Thulin
Rollinia sylvatica,Annona sylvatica A.St.-Hil.
Rosa arkansana,Rosa arkansana Porter
Rosa carolina,Rosa carolina L.
Rosa spinosissima,Rosa spinosissima L.
Rosenbergiodendron formosum,Rosenbergiodendron formosum (Jacq.) Fagerl.
Rosmarinus officinalis,Salvia rosmarinus (L.) Schleid.
Rostraria,
Rothmannia macrophylla,Rothmannia macrophylla (Hook.f.) Bremek.
Roupala brasiliensis,Roupala montana Aubl.
Roupala montana,Roupala montana Aubl.
Ruagea glabra,Ruagea glabra Triana & Planch.
Rubiaceae,
Rubus,
Rubus allegheniensis,Rubus allegheniensis Porter
Rubus argutus,Rubus argutus Link
Rubus calycinoides,Rubus calycinoides Kuntze
Rubus chamaemorus,Rubus chamaemorus L.
Rubus flagellaris,Rubus flagellaris Willd.
Rubus fruticosus,Rubus fruticosus L.
Rubus idaeus,Rubus idaeus L.
Rubus occidentalis,Rubus occidentalis L.
Rubus ostryifolius,Rubus ostryifolius Rydb.
Rubus pentalobus,Rubus rolfei J.E.Vidal
Rudbeckia hirta,Rudbeckia hirta L.
Rudgea jasminoides,Rudgea jasminoides (Cham.) Müll.Arg.
Rudgea viburnoides,Rudgea viburnoides (Cham.) Benth.
Ruellia humilis,Ruellia humilis Nutt.
Rumex,
Rumex acetosa,Rumex acetosa L.
Rumex acetosella,Rumex acetosella L.
Rumex alpestris,Rumex alpestris Jacq.
Rumex altissimus,Rumex altissimus Alph.Wood
Rumex crispus,Rumex crispus L.
Rumex obtusifolius,Rumex obtusifolius L.
Rumex sagittatus,Rumex sagittatus Thunb.
Rumex thyrsiflorus,Rumex thyrsiflorus Fingerh.
Ruppia,
Ruppia cirrhosa,Ruppia cirrhosa (Petagna) Grande
Ruppia maritima,Ruppia maritima L.
Ruprechtia laxiflora,Ruprechtia laxiflora Meisn.
Ruschia sarmentosa,Ruschia sarmentosa (Haw.) Schwantes
Ryparosa acuminata,Ryparosa acuminata Merr.
Ryparosa fasciculata,Ryparosa fasciculata King
Ryparosa javanica,Ryparosa javanica (Blume) Koord. & Valeton
Ryparosa kunstleri,Ryparosa kunstleri King
Sabatia campestris,Sabatia campestris Nutt.
Sagina nodosa,Sagina nodosa (L.) Fenzl
Sagina saginoides,Sagina saginoides (L.) H.Karst.
Salacia crassifolia,Salacia crassifolia (Mart. ex Schult.) G.Don
Salacia gigantea,Salacia gigantea Loes.
Salicornia,
Salix arctica,Salix arctica Pall.
Salix aurita,Salix aurita L.
Salix callicarpaea,Salix glauca L.
Salix caprea,Salix caprea L.
Salix caroliniana,Salix caroliniana Michx.
Salix chamissonis,Salix chamissonis Andersson
Salix discolor,Salix discolor Muhl.
Salix fuscescens,Salix fuscescens Andersson
Salix glauca,Salix glauca L.
Salix hastata,Salix hastata L.
Salix herbacea,Salix herbacea L.
Salix humilis,Salix humilis Marshall
Salix lanata,Salix lanata L.
Salix myrsinites,Salix myrsinites L.
Salix pedicellaris,Salix pedicellaris Pursh
Salix phlebophylla,Salix phlebophylla Andersson
Salix phylicifolia,Salix phylicifolia L.
Salix polaris,Salix polaris Wahlenb.
Salix pulchra,Salix pulchra Cham.
Salix reticulata,Salix reticulata L.
Salix retusa,Salix retusa L.
Salix rotundifolia,Salix rotundifolia Trautv.
Salix scouleriana,Salix scouleriana Barratt ex Hook.
Salix serpyllifolia,Salix serpyllifolia Scop.
Salsola iberica,Kali tragus (L.) Scop.
Salsola kali,Kali turgidum (Dumort.) Gutermann
Salsola tragus,Kali tragus (L.) Scop.
Saltera sarcocolla,Saltera sarcocolla (L. ex DC.) Bullock
Salvia africana-lutea,Salvia africana-lutea L.
Salvia azurea,Salvia azurea Michx. ex Vahl
Salvia reflexa,Salvia reflexa Hornem.
Salvia subincisa,Salvia subincisa Benth.
Sambucus ebulus,Sambucus ebulus L.
Sambucus nigra,Sambucus nigra L.
Sambusus nigra,
Sandoricum beccarianum,Sandoricum beccarianum Baill.
Sandoricum koetjape,Sandoricum koetjape (Burm.f.) Merr.
Sanguisorba officinalis,Sanguisorba officinalis L.
Santiria apiculata,Santiria apiculata A.W.Benn.
Santiria conferta,Santiria conferta A.W.Benn.
Santiria griffithii,Santiria griffithii (Hook.f.) Engl.
Santiria laevigata,Santiria laevigata Blume
Santiria oblongifolia,Santiria oblongifolia Blume
Santiria rubiginosa,Santiria rubiginosa Blume
Santiria tomentosa,Santiria tomentosa Blume
Sanvitalia aberti,Sanvitalia aberti A.Gray
Sanvitalia abertii,
Sapium baccatum,Balakata baccata (Roxb.) Esser
Sapium broadleaf,
Sapium discolor,Triadica cochinchinensis Lour.
Sapium glandulatum,Sapium glandulosum (L.) Morong
Sapium glandulosum,Sapium glandulosum (L.) Morong
Sapium laurifolium,Sapium laurifolium (A.Rich.) Griseb.
Sapium obovatum,Sapium obovatum Klotzsch ex Müll.Arg.
Sapium sceleratum,Sapium argutum (Müll.Arg.) Huber
Sapium stylare,Sapium stylare Müll.Arg.
Saprosma scortechinii,Saprosma scortechinii King & Gamble
Saraca declinata,Saraca declinata (Jack) Miq.
Saraca thaipingensis,Saraca thaipingensis Prain
Sarcomelicope simplicifolia,Sarcomelicope simplicifolia (Endl.) T.G.Hartley
Sarcopteryx martyana,Sarcopteryx martyana (F.Muell.) Radlk.
Sarcopteryx montana,Sarcopteryx montana S.T.Reynolds
Sarcopteryx reticulata,Sarcopteryx reticulata S.T.Reynolds
Sarcotheca griffithii,Sarcotheca griffithii (Planch.) Hallier.f.
Sarcotheca monophylla,Sarcotheca monophylla (Planch.) Hallier.f.
Sarcotoechia cuneata,Sarcotoechia cuneata Radlk.
Sarcotoechia lanceolata,Sarcotoechia lanceolata (C.T.White) S.T.Reynolds
Sarcotoechia protracta,Sarcotoechia protracta Radlk.
Sarothamnus scoparius,Cytisus scoparius (L.) Link
Sassafras albidum,Sassafras albidum (Nutt.) Nees
Saurauia micayensis,Saurauia micayensis Killip
Saurauia parviflora,Saurauia parviflora Triana & Planch.
Saurauia yasicae,Saurauia yasicae Loes.
Sauropus androgynus,Breynia androgyna (L.) Chakrab. & N.P.Balakr.
Saussurea alpina,Saussurea alpina (L.) DC.
Saussurea angustifolia,Saussurea angustifolia (L.) DC.
Savia dictyocarpa,Savia dictyocarpa Müll.Arg.
Saxifraga,
Saxifraga aizoides,Saxifraga aizoides L.
Saxifraga androsacea,Saxifraga androsacea L.
Saxifraga bronchialis,Saxifraga bronchialis L.
Saxifraga caespitosa,Saxifraga caespitosa L.
Saxifraga cernua,Saxifraga cernua L.
Saxifraga exarata,Saxifraga exarata Vill.
Saxifraga foliolosa,Micranthes foliolosa (R.Br.) Gornall
Saxifraga granulata,Saxifraga granulata L.
Saxifraga hieraciifolia,Micranthes hieraciifolia (Waldst. & Kit. ex Willd.) Haw.
Saxifraga hirculus,Saxifraga hirculus L.
Saxifraga nivalis,Micranthes nivalis (L.) Small
Saxifraga oppositifolia,Saxifraga oppositifolia L.
Saxifraga punctata,Saxifraga punctata L.
Saxifraga rosacea,Saxifraga rosacea Moench
Saxifraga stellaris,Micranthes stellaris (L.) Galasso & al.
Saxifraga tricuspidata,Saxifraga tricuspidata Rottb.
Scabiosa africana,Scabiosa africana L.
Scabiosa columbaria,Scabiosa columbaria L.
Scabiosa lucida,Scabiosa lucida Vill.
Scaphium linearicarpum,Scaphium linearicarpum (Mast.) Pierre
Scaphium macropodum,Scaphium macropodum (Miq.) Beumée ex K.Heyne
Scaphocalyx spathacea,Scaphocalyx spathacea Ridl.
Schedonnardus paniculatus,Muhlenbergia paniculata (Nutt.) P.M.Peterson
